LunaID	n	m
11059	1	Puberty_tsr
11065	1	Puberty_tsr
11066	1	Puberty_tsr
11074	1	Puberty_tsr
11078	1	Puberty_tsr
11082	1	Puberty_tsr
11084	1	Puberty_tsr
11087	1	Puberty_tsr
11094	1	Puberty_tsr
11106	1	Puberty_tsr
11113	1	Puberty_tsr
11123	1	Puberty_tsr
11130	1	Puberty_tsr
11141	1	Puberty_tsr
