taskName	mode	totalvisits	firstvisit	lastvisit	youngets	oldest	muage	totalStudies	studies
SCARED	Questionnaire	93	2005-06-02	2009-10-21	8.24	17.98	13.092688172043	2	EBS,CogR01
SensationSeeking	Questionnaire	1372	2005-06-02	2015-04-22	8.03	68.41	18.1498396501458	8	MEGEmo,CogR01,RewardR01,EBS,RewardR21,RingReward,PVL,SlotReward
SEPAdult	Questionnaire	124	2011-11-11	2014-11-20	14.08	55.21	24.9987096774194	1	MEGEmo
SEPTeen	Questionnaire	83	2011-11-15	2015-04-18	14.07	55.21	16.4977108433735	1	MEGEmo
Sequence	Behavioral	80	2003-12-29	2008-02-15	8.39	31.03	13.940125	2	EBS,CogR01
SleepSurvey	Questionnaire	2	2005-06-02	2009-10-21	11.81	15.94	13.875	2	CogR01,EBS
SlotRewards	Scan	90	2005-05-12	2014-03-31	8.64	29.56	16.3274444444444	3	CogR01,SlotReward,RingReward
SpatialWorkingMem	Scan	280	2011-11-23	2015-04-22	0.01	30.98	19.8028571428571	2	Cannabis,MEGEmo
SpatialWorkingMemMEG	MEG	54	2013-02-05	2013-12-12	14.36	31.03	21.5805555555556	1	MEGEmo
Spit	Behavioral	367	2009-01-14	2015-04-18	9.97	31.75	20.026757493188	4	RewardR21,MEGEmo,RewardR01,CogR01
STAI	Questionnaire	158	2011-11-11	2015-03-03	14.08	55.21	21.3690506329114	1	MEGEmo
Stoplight	Behavioral	216	2010-11-13	2015-04-18	13.12	31.59	19.9975925925926	4	RewardR01,RewardR21,MEGEmo,CogR01
STQ	Questionnaire	199	2011-11-11	2015-04-18	14.07	55.21	21.4978894472362	1	MEGEmo
StroopRewards	Behavioral	524	2008-04-16	2014-07-16	9.97	31.59	17.9031106870229	4	RewardR01,CogR01,RewardR21,EBS
TROGA	Behavioral	68	2006-08-02	2011-07-07	9.17	15.93	12.3302941176471	1	PVL
UPPSP	Questionnaire	199	2011-11-11	2015-04-18	14.07	55.21	21.5110050251256	1	MEGEmo
Vanderbilt	Questionnaire	27	2005-06-02	2011-07-07	9.29	15.55	12.3274074074074	2	PVL,CogR01
VGS	Behavioral	979	2003-11-03	2015-04-22	0	65.8	16.3257201225741	6	PVL,CogR01,EBS,RewardR01,RingReward,SlotReward
Video	Behavioral	164	2010-08-06	2014-12-29	10.89	31.62	22.2487195121951	3	CogR01,RewardR01,RewardR21
WASI	Questionnaire	1167	2003-11-03	2015-04-22	8.01	68.41	16.8469751499571	7	CogR01,EBS,RewardR01,PVL,RewardR21,SlotReward,RingReward
WMPrePostScan	Questionnaire	220	2011-11-23	2015-04-22	0.01	29.68	19.3553636363636	3	Cannabis,MEGEmo,CogR01
WoodcockJohnson	Questionnaire	60	2005-06-02	2011-07-07	9.17	15.93	12.2508333333333	2	PVL,CogR01
YSR	Questionnaire	349	2005-06-02	2015-04-18	9.97	28.02	14.9142406876791	4	RewardR01,MEGEmo,RewardR21,CogR01
